0   0.74779301	0	1	0
96	0.371416409	0	0	1
97	0.715000853	0	1	1
98	0.321274264	0	0	0
99	0.660708537	0	1	1
100	0.427266718	0	0	0
101	0.560500776	0	1	0
102	0.769762005	0	1	0
103	0.337017938	0	0	0
104	0.209804317	0	0	
105	0.49423104	0	0	0
106	0.144932592	0	0	1
107	0.076706834	0	0	1
108	0.167226579	0	0	1
109	0.708882894	0	1	0
110	0.873886168	0	1	0
111	0.422198045	0	0	1
112	0.492323145	0	0	1
113	0.534757276	0	1	1
114	0.764506523	0	1	1
115	0.86052659	0	1	0
116	0.729098469	0	1	0
117	0.714199416	0	1	0
118	0.801723158	0	1	0
119	0.24078807	0	0	0
120	0.557760516	0	1	1
121	0.627303606	0	1	1
122	0.474104237	0	0	0
123	0.661030688	0	1	0
124	0.734947748	0	1	0
125	0.147924357	0	0	1
126	0.511073986	0	1	0
127	0.550230586	0	1	0
128	0.633258633	0	1	0
129	0.084381396	0	0	0
130	0.666995593	0	1	0
131	0.600138233	0	1	0
132	0.937581683	0	1	0
133	0.546771782	0	1	1
134	0.164789255	0	0	1
135	0.554800025	0	1	0
136	0.506741644	0	1	0
137	0.351377684	0	0	1
138	0.505684938	0	1	1
139	0.865764509	0	1	0
140	0.68218243	0	1	0
141	0.632611512	0	1	0
142	0.528725436	0	1	1
143	0.795595958	0	1	0
144	0.092076541	0	0	1
145	0.619993346	0	1	1
146	0.34745343	0	0	0
147	0.593018763	0	1	1
148	0.7052255	0	1	0
149	0.246098962	0	0	1
150	0.533383361	0	1	0
151	0.53608902	0	1	0
152	0.700425278	0	1	0
153	0.490686219	0	0	1
154	0.494936981	0	0	1
155	0.523908115	0	1	1
156	0.674228302	0	1	0
157	0.563071625	0	1	1
158	0.699734786	0	1	0
159	0.538283758	0	1	1
160	0.534913054	0	1	1
161	0.75792229	0	1	0
162	0.500272408	0	1	1
163	0.690693749	0	1	0
164	0.597598498	0	1	0
165	0.549092416	0	1	1
166	0.351024973	0	0	1
167	0.182504842	0	0	0
168	0.827618583	0	1	0
169	0.697914247	0	1	0
170	0.408148651	0	0	0
171	0.473986406	0	0	1
172	0.398458786	0	0	0
173	0.495787659	0	0	1
174	0.811238288	0	1	1
175	0.465830405	0	0	0
176	0.710395762	0	1	0
177	0.676289874	0	1	0
178	0.455354387	0	0	1
179	0.623368168	0	1	1
180	0.345447728	0	0	1
181	0.522328006	0	1	1
182	0.658058312	0	1	1
183	0.905866072	0	1	0
184	0.650724312	0	1	1
185	0.876754059	0	1	0
186	0.255152643	0	0	0
187	0.897156884	0	1	0
188	0.358536872	0	0	1
189	0.467737692	0	0	1
190	0.927955859	0	1	0
191	0.68336277	0	1	0
192	0.642823663	0	1	1
193	0.569015779	0	1	1
194	0.461713094	0	0	1
195	0.594751401	0	1	0
196	0.682816004	0	1	1
197	0.726329132	0	1	0
198	0.257183642	0	0	0
199	0.573649355	0	1	0
200	0.617258404	0	1	0
201	0.464566709	0	0	1
202	0.444454183	0	0	0
203	0.632482615	0	1	0
204	0.611149299	0	1	1
205	0.469419594	0	0	1
206	0.250848157	0	0	1
207	0.949871026	0	1	0
208	0.504325899	0	1	1
209	0.680474003	0	1	0
210	0.211685717	0	0	0
211	0.549765401	0	1	1
212	0.665163636	0	1	0
213	0.210783422	0	0	1
214	0.538475646	0	1	0
215	0.665260465	0	1	0
216	0.643313347	0	1	1
217	0.049261004	0	0	1
218	0.476985646	0	0	1
219	0.656257928	0	1	0
220	0.612761048	0	1	0
221	0.651592655	0	1	0
222	0.466473565	0	0	1
223	0.636243774	0	1	0
224	0.579609482	0	1	0
225	0.526470473	0	1	1
226	0.708260217	0	1	1
227	0.247536815	0	0	1
228	0.710627581	0	1	0
229	0.861741976	0	1	0
230	0.828026331	0	1	0
231	0.385940706	0	0	0
232	0.621157184	0	1	1
233	0.752545369	0	1	0
234	0.292434811	0	0	0
235	0.65760294	0	1	0
236	0.504777035	0	1	1
237	0.470004721	0	0	1
238	0.650058282	0	1	1
239	0.702318393	0	1	0
240	0.60305799	0	1	0
241	0.636767805	0	1	1
242	0.734275075	0	1	0
243	0.431490959	0	0	1
244	0.651914995	0	1	0
245	0.651512549	0	1	0
246	0.645231756	0	1	0
247	0.343831599	0	0	1
248	0.448755088	0	0	0
